price_in_rp,pendapatan,tabungan,DP,Tenor,Suku_Bunga,Cicilan_Bulanan
2990000000.0,8098000,1619600,448500000.0,5,9.0,52757359.807778366
1270000000.0,2787000,557400,190500000.0,15,8.0,10316264.250346199
1950000000.0,1317000,263400,292500000.0,25,8.0,12792853.836107567
3300000000.0,5128000,1025600,660000000.0,15,7.0,23729066.350504022
4500000000.0,5579000,1115800,1125000000.0,15,7.0,30335454.14126934
2700000000.0,665000,133000,405000000.0,10,7.5,27242056.016678285
2350000000.0,6218000,1243600,352500000.0,20,8.0,16707890.37814449
4500000000.0,4811000,962200,675000000.0,10,6.0,42465341.99268158
2900000000.0,9236000,1847200,290000000.0,25,10.0,23717089.458595596
2700000000.0,312000,62400,540000000.0,25,7.0,15266430.66114196
2550000000.0,7731000,1546200,255000000.0,25,8.0,17713182.234610476
952000000.0,2546000,509200,142800000.0,15,5.5,6611839.314794213
1800000000.0,450000,90000,270000000.0,15,6.5,13327942.689049693
2350000000.0,9627000,1925400,352500000.0,15,9.0,20259975.018631574
2500000000.0,564000,112800,375000000.0,20,6.0,15224159.992661174
2700000000.0,2175000,435000,540000000.0,20,6.0,15474910.863128532
5360000000.0,5082000,1016400,536000000.0,5,6.0,93261434.57796198
952000000.0,454000,90800,142800000.0,20,9.0,7280582.434739579
2250000000.0,7438000,1487600,225000000.0,5,5.5,38679853.39785867
2250000000.0,1604000,320800,450000000.0,15,8.5,17725312.042660683
2450000000.0,2726000,545200,490000000.0,25,8.5,15782450.835857773
125000000.0,4877000,975400,25000000.0,20,5.5,687887.3078592345
1980000000.0,8995000,1799000,297000000.0,20,7.0,13048281.086465634
764000000.0,5458000,1091600,114600000.0,10,8.0,7879013.977436933
2000000000.0,7962000,1592400,200000000.0,15,9.5,18796044.29154826
764000000.0,8203000,1640600,114600000.0,25,6.5,4384795.305791586
2350000000.0,2791000,558200,587500000.0,25,7.5,13024719.50868016
2550000000.0,520000,104000,510000000.0,15,5.5,16668502.474271124
480000000.0,1573000,314600,96000000.0,5,6.0,7423795.787300456
1900000000.0,9804000,1960800,190000000.0,25,5.0,9996489.70978646
300000000.0,5420000,1084000,30000000.0,5,9.0,5604755.911115546
5270000000.0,8272000,1654400,527000000.0,10,8.0,57545678.00274619
2800000000.0,442000,88400,700000000.0,25,5.5,12895837.337910809
2710000000.0,7906000,1581200,677500000.0,15,10.0,21841349.017417498
500000000.0,1593000,318600,100000000.0,25,7.0,2827116.789100363
439000000.0,223000,44600,109750000.0,25,6.0,2121362.3643910564
800000000.0,2023000,404600,80000000.0,5,7.5,14427322.988848943
850000000.0,5172000,1034400,170000000.0,25,9.5,5941137.2938689245
700000000.0,7483000,1496600,175000000.0,10,5.0,5568439.550051465
4950000000.0,7591000,1518200,990000000.0,25,10.0,35984549.52338642
1300000000.0,6842000,1368400,325000000.0,20,6.0,6985202.820162185
