tanggal,pendapatan,tabungan,jumlah_pokok,jumlah_want
12/25/2022,1742000,348400,871000,522600
4/4/2023,7655000,1531000,3827500,2296500
10/13/2021,7678000,1535600,3839000,2303400
1/14/2021,5745000,1149000,2872500,1723500
3/16/2023,3405000,681000,1702500,1021500
12/7/2022,2625000,525000,1312500,787500
10/2/2023,4131000,826200,2065500,1239300
5/19/2023,4934000,986800,2467000,1480200
7/20/2023,3386000,677200,1693000,1015800
9/9/2022,340000,68000,170000,102000
2/23/2023,5618000,1123600,2809000,1685400
4/2/2021,2706000,541200,1353000,811800
11/28/2022,2928000,585600,1464000,878400
7/11/2021,2685000,537000,1342500,805500
3/3/2023,3748000,749600,1874000,1124400
8/9/2024,990000,198000,495000,297000
12/8/2022,8808000,1761600,4404000,2642400
11/1/2021,6791000,1358200,3395500,2037300
10/17/2022,9473000,1894600,4736500,2841900
7/25/2021,6426000,1285200,3213000,1927800
10/22/2024,8839000,1767800,4419500,2651700
7/31/2021,4005000,801000,2002500,1201500
6/22/2021,7996000,1599200,3998000,2398800
4/2/2024,8775000,1755000,4387500,2632500
4/14/2022,7471000,1494200,3735500,2241300
2/10/2021,6944000,1388800,3472000,2083200
1/12/2022,9197000,1839400,4598500,2759100
12/23/2022,5752000,1150400,2876000,1725600
7/27/2024,5294000,1058800,2647000,1588200
9/12/2024,5350000,1070000,2675000,1605000
1/11/2022,8665000,1733000,4332500,2599500
2/10/2024,9763000,1952600,4881500,2928900
6/5/2024,5962000,1192400,2981000,1788600
2/15/2024,2485000,497000,1242500,745500
10/12/2021,3482000,696400,1741000,1044600
10/4/2022,4130000,826000,2065000,1239000
2/13/2023,5978000,1195600,2989000,1793400
8/5/2024,8811000,1762200,4405500,2643300
8/25/2021,6893000,1378600,3446500,2067900
7/1/2023,3466000,693200,1733000,1039800
10/15/2023,9290000,1858000,4645000,2787000
8/12/2022,8981000,1796200,4490500,2694300
12/17/2022,8936000,1787200,4468000,2680800
4/17/2022,2089000,417800,1044500,626700
1/12/2023,356000,71200,178000,106800
5/6/2023,2905000,581000,1452500,871500
8/2/2023,3567000,713400,1783500,1070100
7/10/2023,9225000,1845000,4612500,2767500
10/8/2022,2585000,517000,1292500,775500
7/16/2024,8001000,1600200,4000500,2400300
7/19/2022,3099000,619800,1549500,929700
12/11/2022,8816000,1763200,4408000,2644800
