Periode,Data_Inflasi
September 2024,0.0184
Agustus 2024,0.0212
Juli 2024,0.0213
Juni 2024,0.025099999999999997
Mei 2024,0.028399999999999998
April 2024,0.03
Maret 2024,0.0305
Februari 2024,0.0275
Januari 2024,0.025699999999999997
Desember 2023,0.026099999999999998
November 2023,0.0286
Oktober 2023,0.0256
September 2023,0.022799999999999997
Agustus 2023,0.0327
Juli 2023,0.0308
Juni 2023,0.0352
Mei 2023,0.04
April 2023,0.0433
Maret 2023,0.049699999999999994
Februari 2023,0.0547
Januari 2023,0.0528
Desember 2022,0.055099999999999996
November 2022,0.0542
Oktober 2022,0.0571
September 2022,0.059500000000000004
Agustus 2022,0.046900000000000004
Juli 2022,0.049400000000000006
Juni 2022,0.0435
Mei 2022,0.0355
April 2022,0.0347
Maret 2022,0.0264
Februari 2022,0.0206
Januari 2022,0.0218
Desember 2021,0.0187
November 2021,0.0175
Oktober 2021,0.0166
September 2021,0.016
Agustus 2021,0.0159
Juli 2021,0.0152
Juni 2021,0.013300000000000001
Mei 2021,0.0168
April 2021,0.014199999999999999
Maret 2021,0.0137
Februari 2021,0.0138
Januari 2021,0.0155
Desember 2020,0.0168
November 2020,0.0159
Oktober 2020,0.0144
September 2020,0.014199999999999999
Agustus 2020,0.0132
Juli 2020,0.0154
Juni 2020,0.0196
Mei 2020,0.0219
April 2020,0.026699999999999998
Maret 2020,0.0296
Februari 2020,0.0298
Januari 2020,0.0268
Desember 2019,0.027200000000000002
November 2019,0.03
Oktober 2019,0.0313
September 2019,0.0339
Agustus 2019,0.0349
Juli 2019,0.0332
Juni 2019,0.032799999999999996
Mei 2019,0.0332
April 2019,0.028300000000000002
Maret 2019,0.0248
Februari 2019,0.025699999999999997
Januari 2019,0.0282
Desember 2018,0.0313
November 2018,0.0323
Oktober 2018,0.0316
September 2018,0.0288
Agustus 2018,0.032
Juli 2018,0.0318
Juni 2018,0.031200000000000002
Mei 2018,0.0323
April 2018,0.0341
Maret 2018,0.034
Februari 2018,0.0318
Januari 2018,0.0325
Desember 2017,0.0361
November 2017,0.033
Oktober 2017,0.0358
September 2017,0.037200000000000004
Agustus 2017,0.0382
Juli 2017,0.0388
Juni 2017,0.0437
Mei 2017,0.0433
April 2017,0.0417
Maret 2017,0.0361
Februari 2017,0.0383
Januari 2017,0.0349
Desember 2016,0.0302
November 2016,0.0358
Oktober 2016,0.0331
September 2016,0.030699999999999998
Agustus 2016,0.0279
Juli 2016,0.0321
Juni 2016,0.0345
Mei 2016,0.0333
April 2016,0.036000000000000004
Maret 2016,0.044500000000000005
Februari 2016,0.044199999999999996
Januari 2016,0.0414
Desember 2015,0.0335
November 2015,0.0489
Oktober 2015,0.0625
September 2015,0.0683
Agustus 2015,0.0718
Juli 2015,0.0726
Juni 2015,0.0726
Mei 2015,0.07150000000000001
April 2015,0.0679
Maret 2015,0.0638
Februari 2015,0.0629
Januari 2015,0.0696
Desember 2014,0.0836
November 2014,0.0623
Oktober 2014,0.0483
September 2014,0.0453
Agustus 2014,0.039900000000000005
Juli 2014,0.0453
Juni 2014,0.067
Mei 2014,0.0732
April 2014,0.0725
Maret 2014,0.0732
Februari 2014,0.0775
Januari 2014,0.08220000000000001
Desember 2013,0.08380000000000001
November 2013,0.0837
Oktober 2013,0.0832
September 2013,0.084
Agustus 2013,0.08789999999999999
Juli 2013,0.0861
Juni 2013,0.059000000000000004
Mei 2013,0.0547
April 2013,0.0557
Maret 2013,0.059000000000000004
Februari 2013,0.053099999999999994
Januari 2013,0.045700000000000005
Desember 2012,0.043
November 2012,0.0432
Oktober 2012,0.0461
September 2012,0.0431
Agustus 2012,0.0458
Juli 2012,0.045599999999999995
Juni 2012,0.0453
Mei 2012,0.044500000000000005
April 2012,0.045
Maret 2012,0.0397
Februari 2012,0.0356
Januari 2012,0.0365
Desember 2011,0.0379
November 2011,0.0415
Oktober 2011,0.044199999999999996
September 2011,0.0461
Agustus 2011,0.0479
Juli 2011,0.0461
Juni 2011,0.0554
Mei 2011,0.059800000000000006
April 2011,0.0616
Maret 2011,0.0665
Februari 2011,0.0684
Januari 2011,0.0702
Desember 2010,0.0696
November 2010,0.0633
Oktober 2010,0.0567
September 2010,0.057999999999999996
Agustus 2010,0.0644
Juli 2010,0.0622
Juni 2010,0.050499999999999996
Mei 2010,0.0416
April 2010,0.0391
Maret 2010,0.034300000000000004
Februari 2010,0.0381
Januari 2010,0.037200000000000004
Desember 2009,0.0278
November 2009,0.0241
Oktober 2009,0.025699999999999997
September 2009,0.028300000000000002
Agustus 2009,0.0275
Juli 2009,0.0271
Juni 2009,0.0365
Mei 2009,0.0604
April 2009,0.0731
Maret 2009,0.07919999999999999
Februari 2009,0.086
Januari 2009,0.0917
Desember 2008,0.1106
November 2008,0.1168
Oktober 2008,0.1177
September 2008,0.12140000000000001
Agustus 2008,0.1185
Juli 2008,0.11900000000000001
Juni 2008,0.1103
Mei 2008,0.1038
April 2008,0.08960000000000001
Maret 2008,0.0817
Februari 2008,0.07400000000000001
Januari 2008,0.0736
Desember 2007,0.0659
November 2007,0.06709999999999999
Oktober 2007,0.0688
September 2007,0.0695
Agustus 2007,0.06509999999999999
Juli 2007,0.060599999999999994
Juni 2007,0.057699999999999994
Mei 2007,0.0601
April 2007,0.0629
Maret 2007,0.0652
Februari 2007,0.063
Januari 2007,0.0626
Desember 2006,0.066
November 2006,0.0527
Oktober 2006,0.0629
September 2006,0.14550000000000002
Agustus 2006,0.149
Juli 2006,0.1515
Juni 2006,0.1553
Mei 2006,0.156
April 2006,0.154
Maret 2006,0.1574
Februari 2006,0.17920000000000003
Januari 2006,0.1703
Desember 2005,0.1711
November 2005,0.1838
Oktober 2005,0.1789
September 2005,0.0906
Agustus 2005,0.0833
Juli 2005,0.0784
Juni 2005,0.0742
Mei 2005,0.07400000000000001
April 2005,0.0812
Maret 2005,0.08810000000000001
Februari 2005,0.07150000000000001
Januari 2005,0.0732
Desember 2004,0.064
November 2004,0.061799999999999994
Oktober 2004,0.0622
September 2004,0.06269999999999999
