tanggal,pendapatan,tabungan,jumlah_pokok,jumlah_want
2022-12-25,1742000,348400,871000,522600
2023-04-04,7655000,1531000,3827500,2296500
2021-10-13,7678000,1535600,3839000,2303400
2021-01-14,5745000,1149000,2872500,1723500
2023-03-16,3405000,681000,1702500,1021500
2022-12-07,2625000,525000,1312500,787500
2023-10-02,4131000,826200,2065500,1239300
2023-05-19,4934000,986800,2467000,1480200
2023-07-20,3386000,677200,1693000,1015800
2022-09-09,340000,68000,170000,102000
2023-02-23,5618000,1123600,2809000,1685400
2021-04-02,2706000,541200,1353000,811800
2022-11-28,2928000,585600,1464000,878400
2021-07-11,2685000,537000,1342500,805500
2023-03-03,3748000,749600,1874000,1124400
2024-08-09,990000,198000,495000,297000
2022-12-08,8808000,1761600,4404000,2642400
2021-11-01,6791000,1358200,3395500,2037300
2022-10-17,9473000,1894600,4736500,2841900
2021-07-25,6426000,1285200,3213000,1927800
2024-10-22,8839000,1767800,4419500,2651700
2021-07-31,4005000,801000,2002500,1201500
2021-06-22,7996000,1599200,3998000,2398800
2024-04-02,8775000,1755000,4387500,2632500
2022-04-14,7471000,1494200,3735500,2241300
2021-02-10,6944000,1388800,3472000,2083200
2022-01-12,9197000,1839400,4598500,2759100
2022-12-23,5752000,1150400,2876000,1725600
2024-07-27,5294000,1058800,2647000,1588200
2024-09-12,5350000,1070000,2675000,1605000
2022-01-11,8665000,1733000,4332500,2599500
2024-02-10,9763000,1952600,4881500,2928900
2024-06-05,5962000,1192400,2981000,1788600
2024-02-15,2485000,497000,1242500,745500
2021-10-12,3482000,696400,1741000,1044600
2022-10-04,4130000,826000,2065000,1239000
2023-02-13,5978000,1195600,2989000,1793400
2024-08-05,8811000,1762200,4405500,2643300
2021-08-25,6893000,1378600,3446500,2067900
2023-07-01,3466000,693200,1733000,1039800
2023-10-15,9290000,1858000,4645000,2787000
2022-08-12,8981000,1796200,4490500,2694300
2022-12-17,8936000,1787200,4468000,2680800
2022-04-17,2089000,417800,1044500,626700
2023-01-12,356000,71200,178000,106800
2023-05-06,2905000,581000,1452500,871500
2023-08-02,3567000,713400,1783500,1070100
2023-07-10,9225000,1845000,4612500,2767500
2022-10-08,2585000,517000,1292500,775500
2024-07-16,8001000,1600200,4000500,2400300
2022-07-19,3099000,619800,1549500,929700
