Brand,Memory,Storage,Price,Price_normalized,Brand_cluster
realme X3 SuperZoom  Arctic White,8.0,60.44444444444444,3199900.0,0.16401674082931655,4
realme X3 SuperZoom  Arctic White,12.0,58.666666666666664,3499900.0,0.17988984068698777,4
realme X3 SuperZoom  Glacier Blue,12.0,56.888888888888886,3499900.0,0.17988984068698777,4
realme 6 Comet White,6.0,53.333333333333336,1799900.0,0.08994227482685094,4
realme X2  Pearl White,4.0,46.22222222222222,1799900.0,0.08994227482685094,9
realme X2  Pearl Green,8.0,102.4,2099900.0,0.10581537468452214,2
realme X3 SuperZoom  Glacier Blue,8.0,128.0,2999900.0,0.15343467425753576,2
realme X3 SuperZoom  Glacier Blue,8.0,256.0,3199900.0,0.16401674082931655,0
realme X3 SuperZoom  Arctic White,8.0,256.0,3199900.0,0.16401674082931655,0
realme X3 SuperZoom  Arctic White,12.0,256.0,3499900.0,0.17988984068698777,0
realme X3 SuperZoom  Glacier Blue,12.0,256.0,3499900.0,0.17988984068698777,0
realme X3 SuperZoom  Arctic White,8.0,256.0,3199900.0,0.16401674082931655,0
realme X3 SuperZoom  Arctic White,12.0,256.0,3499900.0,0.17988984068698777,0
realme X3 SuperZoom  Glacier Blue,12.0,256.0,3499900.0,0.17988984068698777,0
realme 6 Comet White,6.0,64.0,1799900.0,0.08994227482685094,4
realme X2  Pearl White,4.0,64.0,1799900.0,0.08994227482685094,4
realme X2  Pearl Green,8.0,128.0,2099900.0,0.10581537468452214,2
realme X3 SuperZoom  Arctic White,8.0,128.0,2999900.0,0.15343467425753576,2
realme 6 Comet White,6.0,128.0,1699900.0,0.08465124154096053,2
realme 6 Comet White,8.0,128.0,1799900.0,0.08994227482685094,2
realme 6 Comet White,4.0,64.0,1499900.0,0.07406917496917974,4
realme X2  Pearl Green,4.0,64.0,1799900.0,0.08994227482685094,4
realme X2  Pearl White,8.0,128.0,2099900.0,0.10581537468452214,2
realme X2  Pearl White,8.0,256.0,2499900.0,0.12697950782808376,0
realme X2  Pearl White,6.0,128.0,1999900.0,0.10052434139863174,2
realme X2  Pearl Green,6.0,128.0,1999900.0,0.10052434139863174,2
realme X2  Pearl Green,8.0,256.0,2499900.0,0.12697950782808376,0
Nokia 6310 Black,16.0,8.0,419900.0,0.016926015481563396,1
Nokia 6310 Black,16.0,8.0,404900.0,0.016132360488679835,1
Nokia C01 Plus  Blue,2.0,16.0,649900.0,0.02909539203911132,1
Nokia C01 Plus  Blue,2.0,16.0,649900.0,0.02909539203911132,1
Nokia 6310 Black,16.0,8.0,404900.0,0.016132360488679835,1
Nokia 6310 Black,16.0,8.0,440000.0,0.017989513172027367,1
Nokia C01 Plus  Blue,2.0,16.0,649900.0,0.02909539203911132,1
Nokia C01 Plus  Blue,2.0,16.0,649900.0,0.02909539203911132,1
Nokia C01 Plus  Blue,2.0,16.0,649900.0,0.02909539203911132,1
Nokia C01 Plus  Blue,2.0,16.0,649900.0,0.02909539203911132,1
Nokia C01 Plus  Blue,2.0,16.0,649900.0,0.02909539203911132,1
Nokia C01 Plus  Blue,2.0,16.0,649900.0,0.02909539203911132,1
Nokia C01 Plus  Blue,2.0,16.0,649900.0,0.02909539203911132,1
Nokia 6310 Black,8.0,16.0,418900.0,0.01687310514870449,1
Nokia 6310 Black,8.0,16.0,418900.0,0.01687310514870449,1
Nokia 6310 Black,8.0,16.0,418900.0,0.01687310514870449,1
Nokia 6310 Black,8.0,16.0,418900.0,0.01687310514870449,1
Apple iPhone SE  White,2.0,64.0,3990000.0,0.20582119482113662,4
Apple iPhone SE  Black,2.0,64.0,3990000.0,0.20582119482113662,4
Apple iPhone SE  Red,2.0,64.0,3990000.0,0.20582119482113662,4
Apple iPhone XR  Red,3.0,64.0,4790000.0,0.24814946110825983,4
Apple iPhone SE  Red,2.0,128.0,4490000.0,0.23227636125058862,2
Apple iPhone SE  White,2.0,128.0,4490000.0,0.23227636125058862,2
Apple iPhone 11  Yellow,4.0,64.0,4990000.0,0.25873152768004065,4
Apple iPhone SE  Black,2.0,128.0,4490000.0,0.23227636125058862,2
Apple iPhone XR  Red,3.0,128.0,5290000.0,0.27460462753771187,2
Apple iPhone XR  Yellow,3.0,128.0,5290000.0,0.27460462753771187,2
Apple iPhone 11  Yellow,4.0,128.0,5490000.0,0.28518669410949266,2
