nama,harga,tipe_review,kata_kunci
Black Myth: Wukong,260100.00000000006,Overwhelmingly Positive,"Mythology,Action RPG,Action,Souls-like,RPG,Combat,Story Rich,Singleplayer,Drama,Action-Adventure,Dark Fantasy,Atmospheric,Adventure,3D,Fantasy,Hack and Slash,Third Person,Difficult,Music,Violent"
"Warhammer 40,000: Space Marine 2",120865.53923463472,Very Positive,"Warhammer 40K,Action,Adventure,Third-Person Shooter,Action-Adventure,Multiplayer,PvE,Third Person,Wargame,Co-op,3D,Narration,Sci-fi,Fantasy,Space,Realistic,War,Singleplayer,Futuristic,Cinematic"
Grand Theft Auto V,136240.0,Very Positive,"Open World,Action,Multiplayer,Crime,Automobile Sim,Third Person,First-Person,Mature,Shooter,Adventure,Singleplayer,Third-Person Shooter,Racing,Co-op,Sandbox,Atmospheric,Funny,Great Soundtrack,Comedy,Moddable"
Red Dead Redemption 2,260100.00000000006,Very Positive,"Open World,Story Rich,Western,Adventure,Multiplayer,Action,Realistic,Singleplayer,Shooter,Atmospheric,Horses,Beautiful,Mature,Third-Person Shooter,Great Soundtrack,Third Person,Gore,Sandbox,First-Person,FPS"
Risk of Rain 2,42000.0,Very Positive,"Third-Person Shooter,Action Roguelike,Multiplayer,Co-op,Action,Roguelite,Roguelike,Looter Shooter,Loot,Online Co-Op,Shooter,Difficult,Third Person,Great Soundtrack,Indie,Survival,Singleplayer,Soundtrack,Early Access,Bullet Hell"
ELDEN RING Shadow of the Erdtree,260100.00000000006,Mostly Positive,"Action,RPG,Souls-like,Difficult,Fantasy,Dark,Lore-Rich,Exploration,Adventure,Story Rich,Third Person,Singleplayer,PvE,Action RPG,Character Customization,PvP,Online Co-Op,Multiplayer,3D,Co-op"
Dead by Daylight,129870.0,Very Positive,"Horror,Survival Horror,Multiplayer,Online Co-Op,Co-op,Survival,Gore,Team-Based,Blood,Stealth,Third Person,Violent,First-Person,Psychological Horror,Action,Atmospheric,Strategy,Comedy,Mature,Difficult"
ELDEN RING,260100.00000000006,Very Positive,"Souls-like,Dark Fantasy,Open World,RPG,Difficult,Action RPG,Third Person,Multiplayer,Fantasy,Singleplayer,Online Co-Op,Action,Co-op,PvP,Atmospheric,Great Soundtrack,Violent,3D,Character Customization,Family Friendly"
Tom Clancy's Rainbow Six® Siege,194870.0,Very Positive,"FPS,PvP,eSports,Multiplayer,Tactical,Shooter,Competitive,Online Co-Op,Action,Hero Shooter,Team-Based,Military,Strategy,First-Person,War,Co-op,Realistic,Destruction,Difficult,3D"
GUNDAM BREAKER 4,260100.00000000006,Very Positive,"Action,Robots,Hack and Slash,RPG,Mechs,Action RPG,3D,Co-op,Anime,Character Customization,Singleplayer,Multiplayer"
ARK: Survival Ascended,150600.0,Mixed,"Survival,Open World,Dinosaurs,Multiplayer,Adventure,Building,Action,Crafting,Base Building,Sandbox,Character Customization,PvP,PvE,Singleplayer,Massively Multiplayer,Inventory Management,RPG,Sci-fi,Fantasy,Moddable"
Rust,225420.00000000006,Very Positive,"Survival,Crafting,Multiplayer,Open World,Open World Survival Craft,Building,PvP,Sandbox,Adventure,First-Person,Action,Nudity,FPS,Shooter,Co-op,Online Co-Op,Indie,Early Access,Post-apocalyptic,Simulation"
FINAL FANTASY XIV Online,106470.0,Very Positive,"MMORPG,RPG,Massively Multiplayer,Fantasy,Character Customization,JRPG,Story Rich,Open World,Multiplayer,Magic,Adventure,Third Person,Co-op,Atmospheric,Action,Online Co-Op,Exploration,Action RPG,Crafting,Female Protagonist"
