item group,price,merek,Brand
WOMEN BAGS,4250000.0,TORY BURCH,TORY BURCH 58025 PERRY LEATHER BP BLACK
Women Wallets,1100000.0,KATE SPADE,KATE SPADE WLRU6153 HOLLIE SPADE CLOVER GEO EMBOSS LARGE WALLET BLACK
WOMEN BAGS,1550000.0,KATE SPADE,KATE SPADE WKRO0068 SPADE LINK TOTE WHITE MULTI
Women Shoes,1400000.0,MICHAEL KORS,MICHAEL KORS FLAT SHOES STUD BROWN BLACK
WOMEN BAGS,1650000.0,KATE SPADE,MICHAEL KORS 35S0GXZM1B TEAGEN SMALL MESSENGER SIGNATURE BROWN TAN
WOMEN BAGS,2350000.0,MICHAEL KORS,MICHAEK KORS 35S0GXZS7L TEAGEN LARGE LONG DROP SATCHEL LEATHER BLACK
WOMEN BAGS,1550000.0,KATE SPADE,KATE SPADE WKRO0068 SPADE LINK TOTE BLUE MULTI
Women Wallets,950000.0,MICHAEL KORS,MICHAEL KORS 35F9GFTE3B FULTON SIG BROWN WALLET
WOMEN BAGS,1650000.0,KATE SPADE,MICHAEL KORS 35S0GXZM1B TEAGEN SMALL MESSENGER SIGNATURE BROWN TAN
WOMEN BAGS,2250000.0,MICHAEL KORS,MICHAEL KORS 38H9GIVM6B SIERRA MEDIUM MESSENGER VANILLA
MEN BAGS,1550000.0,MICHAEL KORS,MICHAEL KORS 37U9LCRC8B COOPER  SLING SIGNATURE BLACK
WOMEN BAGS,1950000.0,KATE SPADE,KATE SPADE WKRU6816 KAILEE TROPICAL TOSS MEDIUM FLAP SHOULDER BAG NIGHTCAP
WOMEN BAGS,1950000.0,KATE SPADE,KATE SPADE WKRU6730 CAMERON POCKET TOTE BLACK
Women Wallets,1000000.0,COACH,COACH 67565 WALLET SIGNATURE LEATHER MEDIUM ZIP PINK LEMONADE
Women Wallets,1000000.0,COACH,COACH 67565 WALLET SIGNATURE LEATHER MEDIUM ZIP PINK LEMONADE
WOMEN BAGS,2000000.0,COACH,COACH F27591 MINI SIERA BLACK
WOMEN BAGS,1650000.0,KATE SPADE,MICHAEL KORS 35S0GXZM1B TEAGEN SMALL MESSENGER SIGNATURE BROWN TAN
WOMEN BAGS,1650000.0,KATE SPADE,MICHAEL KORS 35S0GXZM1B TEAGEN SMALL MESSENGER SIGNATURE BROWN TAN
WOMEN BAGS,1650000.0,KATE SPADE,MICHAEL KORS 35S0GXZM1B TEAGEN SMALL MESSENGER SIGNATURE BROWN TAN
WOMEN BAGS,1550000.0,MICHAEL KORS,MICHAEL KORS 35T9GTVT0L JET SET TRAVEL XS CARRYALL CONV TOTE POWDER BLUSH
Women Wallets,950000.0,MICHAEL KORS,MICHAEL KORS 36S0MC0Z30 COOPER TECH ZIP AROUND BLUE
WOMEN BAGS,1100000.0,KATE SPADE,KATE SPADE WKRU6592 HOLLIE SPADE CLOVER GEO DOME CROSSBODY PINK MULTI
WOMEN BAGS,1650000.0,KATE SPADE,KATE SPADE WKRU6993 BLOOM LARGE REVERSIBLE TOTE ENCHANTED FOREST BLUE MULTI
WOMEN BAGS,1450000.0,MICHAEL KORS,MICHAEL KORS 32T8GP5C3C POLLY LARGE EW CROSSBODY ADMIRAL
WOMEN BAGS,1650000.0,KATE SPADE,MICHAEL KORS 35S0GXZM1B TEAGEN SMALL MESSENGER SIGNATURE BROWN TAN
WOMEN BAGS,1650000.0,KATE SPADE,MICHAEL KORS 35S0GXZM1B TEAGEN SMALL MESSENGER SIGNATURE BROWN TAN
Women Watches,2200000.0,FOSSIL,FOSSIL FTW6042 SMARTWATCH WOMEN BLACK
Women Wallets,550000.0,KATE SPADE,KATE SPADE WLRU5972 JAE CARD CASE LANYARD BLACK
WOMEN BAGS,1200000.0,KATE SPADE,KATE SPADE WKRU6558 DOME CROSSBODY SYLVIA SEE THROUGH LIA DOT
Women Wallets,1000000.0,COACH,COACH 67565 WALLET SIGNATURE LEATHER MEDIUM ZIP PINK LEMONADE
WOMEN BAGS,1950000.0,MICHAEL KORS,MICHAEL KORS 38T0GDDC7B DANIELA LARGE GUSSET CROSSBODY BROWN/ACORN
WOMEN BAGS,1300000.0,FOSSIL,FOSSIL SHB2312015 FELICITY SATCHEL BLACK/BROWN
Women Watches,1700000.0,MICHAEL KORS,MICHAEL KORS MK7096
Men Watches,1200000.0,FOSSIL,FOSSIL FS5628 GRANT CHRONOGRAPH
Women Wallets,550000.0,KATE SPADE,KATE SPADE WLRU5972 JAE CARD CASE LANYARD BLACK
Women Shoes,1400000.0,MICHAEL KORS,MICHAEL KORS FLAT SHOES STUD VANILLA
WOMEN BAGS,2100000.0,MICHAEL KORS,MICHAEL KORS 35S0GOXL3L MOTT LARGE CHAIN SHOULDER LEATHER BLACK
WOMEN BAGS,1850000.0,KATE SPADE,KATE SPADE WKRU0129 DEVYN MEDIUM DUFFLE BAJAROSE
WOMEN BAGS,1550000.0,KATE SPADE,KATE SPADE WKRO0067 SPADE LINK MINI TOTE PINK MULTI
WOMEN BAGS,1700000.0,MICHAEL KORS,MICHAEL KORS 35T0G0XM2B MOTT MEDIUM MESSENGER BROWN
WOMEN BAGS,1950000.0,KATE SPADE,KATE SPADE WKRU6486 KAILEE MEDIUM DOUBLE COMPARTMENT SHOUDER BROWN
WOMEN BAGS,600000.0,KATE SPADE,KATE SPADE WLRU6012 CAMERON CARD CASE LANYARD WARM BEIGE
WOMEN BAGS,1650000.0,KATE SPADE,KATE SPADE WKRU6593 HOLLIE SPADE CLOVER GEO LARGE TOTE PINK MULTI
Women Wallets,1000000.0,COACH,COACH 67565 WALLET SIGNATURE LEATHER MEDIUM ZIP PINK LEMONADE
WOMEN BAGS,550000.0,KATE SPADE,KATE SPADE WLRU5972 JAE CARD CASE LANYARD FAVORIT RED
WOMEN BAGS,1550000.0,KATE SPADE,KATE SPADE WKRU6164 BRIAR LANE QUILTED MINI CONVERTIBLE BACKPACK BLACK
Men Watches,1100000.0,FOSSIL,FOSSIL BQ7011 STAINLESS STEEL MAN WATCH
Men Watches,1100000.0,FOSSIL,FOSSIL BQ1010 MEN WATCH STAINLESS SILVER
WOMEN BAGS,1550000.0,KATE SPADE,KATE SPADE WKRO0067 SPADE LINK MNI TOTE BLUE MULTI
WOMEN BAGS,1850000.0,KATE SPADE,KATE SPADE WKRU5897 PATTERSON DRIVE MEDIUM DOME SATCHEL BLACK
WOMEN BAGS,2350000.0,MICHAEL KORS,MICHAEL KORS 30T0GZ5L5L MERCER GALLERY SMALL CONVERTIBLE BUCKET FAWN
WOMEN BAGS,1550000.0,KATE SPADE,KATE SPADE WKRO0067 SPADE LINK MNI TOTE BLUE MULTI
WOMEN BAGS,2700000.0,TORY BURCH,TORY BURCH 53304 GEMINI LINK CANVAS SMALL TOTE LIGHT UMBER GEMINI
WOMEN BAGS,3350000.0,COACH,COACH 26852 RLC LEATHER PARKER AURORA
WOMEN BAGS,2250000.0,KATE SPADE,KATE SPADE WKRU6771 JACKSON MEDIUM TRIPLE COMPARTMENT STRAW WHITE
WOMEN BAGS,2950000.0,KATE SPADE,KATE SPADE PXRU8138 MARGAUX MEDIUM SATCHEL MULTI
WOMEN BAGS,1300000.0,FOSSIL,FOSSIL ZB7837914 ELLE CROSSBODY BROWN MULTI
WOMEN BAGS,2350000.0,MICHAEL KORS,MICHAEL KORS 35S0GXZS7B TEAGEN LARGE SIGNATURE WHITE
WOMEN BAGS,1250000.0,FOSSIL,FOSSIL ZB7937001 ELLE E CROSSBODY BLACK
WOMEN BAGS,3050000.0,TORY BURCH,TORY BURCH 60227 KIRA CHEVRON SMALL CAMERA BAG BLUEWOOD
Women Shoes,1300000.0,MICHAEL KORS,MICHAEL KORS CITY BALLET FLATS BLACK
WOMEN BAGS,1350000.0,KATE SPADE,KATE SPADE WKRU6610 X-LARGE DOME CROSSBODY SYLVIA BLACK
WOMEN BAGS,2100000.0,MICHAEL KORS,MICHAEL KORS 35S0GOXL3L MOTT LARGE CHAIN SHOULDER LEATHER BLACK
WOMEN BAGS,1300000.0,COACH,COACH 91042 RED HEART CAMERA BAG MERAH
WOMEN BAGS,3050000.0,TORY BURCH,TORY BURCH 60227 KIRA CHEVRON SMALL CAMERA BAG PINK CITY
Women Shoes,2550000.0,TORY BURCH,TORY BURCH MINNIE TRAVEL BALLET FLAT SHOES MAROON
Women Shoes,1400000.0,MICHAEL KORS,MICHAEL KORS  FULTON SAFIANO FLAT SHOES BLACK GOLD
Women Shoes,1400000.0,MICHAEL KORS,MICHAEL KORS FLAT SHOES STUD BROWN BLACK
WOMEN BAGS,1250000.0,FOSSIL,FOSSIL ZB7937001 ELLE E CROSSBODY BLACK
WOMEN BAGS,1550000.0,KATE SPADE,KATE SPADE WKRO0067 SPADE LINK MINI TOTE PINK MULTI
WOMEN BAGS,1850000.0,MICHAEL KORS,MICHAEL KORS 35T0GBFS5B BEDFORD SMALL DUFFLE SATCHEL STRIPE TANGERINE SIGNATURE BROWN
WOMEN BAGS,2000000.0,KATE SPADE,KATE SPADE WKRU6719 EMELYN BRIAR LANE QUILTED COLOURBLOCK WHITE DOVE MULTI
WOMEN BAGS,1100000.0,KATE SPADE,KATE SPADE WKRU6592 HOLLIE SPADE CLOVER GEO DOME CROSSBODY PINK MULTI
WOMEN BAGS,1500000.0,KATE SPADE,KATE SPADE WKRU7026 JAE GARDEN VINE LARGE TOTE NIGHTCAP MULTI
Women Watches,2200000.0,FOSSIL,FOSSIL FTW6031 SMARTWATCH GEN4 VENTURE HR ROSEGOLD
WOMEN BAGS,600000.0,KATE SPADE,KATE SPADE WLRU6012 CAMERON CARD CASE LANYARD WARM BEIGE
WOMEN BAGS,2200000.0,FOSSIL,FOSSIL ZB7256001RACHEL SATCHEL BLACK
WOMEN BAGS,1300000.0,FOSSIL,FOSSIL SHB2402727 FELICITY SATCHEL GREY/WHITE
WOMEN BAGS,1300000.0,FOSSIL,FOSSIL SHB2434678 FELICITY SATCHEL TOTES PINK STRIPE
WOMEN BAGS,2650000.0,KATE SPADE,KATE SPADE PXRU8138 MARGAUX MEDIUM SATCHEL MULTI
WOMEN BAGS,1850000.0,MICHAEL KORS,MICHAEL KORS 35T0GBFS5B BEDFORD SMALL DUFFLE SATCHEL VANILLA MULTI
WOMEN BAGS,2000000.0,COACH,COACH F73313 ELLE BACKPACK IN SIGNATURE JACQUARD
WOMEN BAGS,2500000.0,TORY BURCH,TORY BURCH 74468 PERRY NYLON CROSSBODY BRIGHT SAMBA
Women Wallets,950000.0,MICHAEL KORS,MICHAEL KORS 35F9GFTE3B FULTON SIG WHITE WALLET
WOMEN BAGS,2350000.0,MICHAEL KORS,MICHAEL KORS 30T0GZ5L5L MERCER GALLERY SMALL CONVERTIBLE BUCKET FAWN
WOMEN BAGS,800000.0,KATE SPADE,KATE SPADE WIR00007 STACI GEO FOX L -ZIP LAPTOP MULTI
Women Wallets,1000000.0,COACH,COACH 67565 WALLET SIGNATURE LEATHER MEDIUM ZIP PINK LEMONADE
Women Wallets,550000.0,KATE SPADE,KATE SPADE WLRU5972 JAE CARD CASE LANYARD BLACK
WOMEN BAGS,1550000.0,MICHAEL KORS,MICHAEL KORS 35T9GTVT0L JET SET TRAVEL XS CARRYALL CONV TOTE POWDER BLUSH
WOMEN BAGS,1950000.0,KATE SPADE,KATE SPADE WKRU6816 KAILEE TROPICAL TOSS MEDIUM FLAP SHOULDER BAG NIGHTCAP
WOMEN BAGS,1850000.0,FOSSIL,FOSSIL ZB7953723 HANNAH HOBO AMBER GOLD
Men Watches,1100000.0,FOSSIL,FOSSIL BQ7011 STAINLESS STEEL MAN WATCH
Women Wallets,600000.0,KATE SPADE,KATE SPADE WLRU6027 MINNIE MOUSE CARD CASE BLACK
Men Watches,1700000.0,FOSSIL,FOSSIL BQ2427 PRIVATE SPORT AUTOMATIC
Women Wallets,1100000.0,KATE SPADE,KATE SPADE WLRU6153 HOLLIE SPADE CLOVER GEO EMBOSS LARGE WALLET PEACHPUFF
Women Watches,1100000.0,FOSSIL,FOSSIL BQ3209 STAINLESS STEEL WOMEN WATCH
Women Wallets,1000000.0,MICHAEL KORS,MICHAEL KORS 35F8STVF28 JET SET TRAVEL MEDIUM BIFOLD WALLET SIGNATURE BLACK
Women Wallets,750000.0,KATE SPADE,KATE SPADE WLRU6009 HOLLIE SPADE CLOVER GEO SMALL SLIM BIFOLD PINK MULTI
Women Watches,1200000.0,OLIVIA BURTON,OLIVIA BURTON OB16MV78
WOMEN BAGS,800000.0,KATE SPADE,KATE SPADE WIR00007 STACI GEO FOX L -ZIP LAPTOP MULTI
WOMEN BAGS,1250000.0,FOSSIL,FOSSIL ZB7937001 ELLE E CROSSBODY BLACK
Women Watches,2100000.0,COACH,COACH 14503465 PINK CERAMIC
WOMEN BAGS,1550000.0,MICHAEL KORS,MICHAEL KORS 35T9GTVT0L JET SET TRAVEL XS CARRYALL CONV TOTE POWDER BLUSH
WOMEN BAGS,2200000.0,KATE SPADE,KATE SPADE WKRU6157 BRIAR LANE QUILTED MEDIUM CONVERTIBLE SHOULDER BAG OPTIC WHITE
WOMEN BAGS,1950000.0,KATE SPADE,KATE SPADE WKRU6703 ROWE MEDIUM TOP ZIP SATCHEL PEACHPUFF
WOMEN BAGS,1550000.0,KATE SPADE,KATE SPADE WKRO0068 SPADE LINK TOTE PINK MULTI
WOMEN BAGS,1550000.0,KATE SPADE,KATE SPADE WKRU6058 PATTERSON DRIVE SMALL DOME SATCHEL BLACK
Women Wallets,750000.0,KATE SPADE,KATE SPADE WLRU5943 NYLON BLACK DOUBLE WRISLET
WOMEN BAGS,1700000.0,COACH,COACH 41321 KITT MESSENGER CROSSBODY IN COLIURBLOCK SIGNATURE TAN RUST
WOMEN BAGS,1900000.0,COACH,COACH 91127 ELLE DALMATION BACKPACK
WOMEN BAGS,1450000.0,KATE SPADE,KATE SPADE WKRU7034 JAE GARDEN VINE MEDIUM SATCHEL NIGHTCAP MULTI
WOMEN BAGS,1950000.0,KATE SPADE,KATE SPADE WKRU6951 STACI MEDIUM SATCHEL BLACK
