tipe_bbm,transmisi,Brand,price
Petrol,Manual,Maruti 800 AC,540000000.0
Petrol,Manual,Maruti Wagon R LXI Minor,1215000000.0
Diesel,Manual,Hyundai Verna 1.6 SX,5400000000.0
Petrol,Manual,Datsun RediGO T Option,3500000000.0
Diesel,Manual,Honda Amaze VX i-DTEC,6300000000.0
Petrol,Manual,Maruti Alto LX BSIII,1260000000.0
Petrol,Manual,Hyundai Xcent 1.2 Kappa S,7700000000.0
Petrol,Manual,Tata Indigo Grand Petrol,3360000000.0
Petrol,Manual,Hyundai Creta 1.6 VTVT S,11900000000.0
CNG,Manual,Maruti Celerio Green VXI,5110000000.0
Petrol,Manual,Chevrolet Sail 1.2 Base,3640000000.0
Petrol,Manual,Tata Indigo Grand Petrol,3500000000.0
Petrol,Automatic,Toyota Corolla Altis 1.8 VL CVT,16616255250.0
Petrol,Manual,Maruti Ciaz VXi Plus,8190000000.0
Diesel,Manual,Hyundai Venue SX Opt Diesel,16616255250.0
Diesel,Manual,Chevrolet Enjoy TCDi LTZ 7 Seater,3510000000.0
Diesel,Automatic,Jaguar XF 2.2 Litre Luxury,16616255250.0
Diesel,Automatic,Mercedes-Benz New C-Class 220 CDI AT,10681878375.0
Diesel,Automatic,Maruti Vitara Brezza ZDi Plus AMT,13650000000.0
Diesel,Automatic,Audi Q5 2.0 TDI,10681878375.0
Petrol,Manual,Honda City V MT,13020000000.0
Petrol,Manual,Tata Tigor 1.2 Revotron XT,7350000000.0
Diesel,Automatic,Audi A6 2.0 TDI  Design Edition,10681878375.0
Diesel,Automatic,Mercedes-Benz New C-Class C 220 CDI Avantgarde,10681878375.0
Diesel,Automatic,Skoda Superb Ambition 2.0 TDI CR AT,4050000000.0
Petrol,Automatic,Toyota Corolla Altis G AT,12600000000.0
Diesel,Manual,Toyota Innova 2.5 G (Diesel) 7 Seater,16616255250.0
Petrol,Manual,Jeep Compass 1.4 Sport Plus BSIV,16616255250.0
Petrol,Automatic,Mercedes-Benz E-Class E 200 CGI Elegance,7650000000.0
Petrol,Manual,Hyundai i10 Magna 1.1L,3219986000.0
Diesel,Automatic,BMW 3 Series 320d Sport Line,10681878375.0
Diesel,Automatic,Audi Q7 35 TDI Quattro Premium,10681878375.0
Diesel,Manual,Hyundai Elantra CRDi S,5625000000.0
Diesel,Manual,Mahindra Scorpio 1.99 S10,14700000000.0
Diesel,Manual,Honda City i DTEC V,7840000000.0
Petrol,Manual,Maruti Wagon R VXI BS IV with ABS,4060000000.0
Petrol,Manual,Maruti Wagon R VXI BS IV,2475000000.0
Diesel,Manual,Mahindra Scorpio LX,3699000000.0
Petrol,Manual,Hyundai Santro Xing GLS,1350000000.0
Petrol,Manual,Hyundai Grand i10 1.2 Kappa Asta,7000000000.0
Petrol,Manual,Maruti Alto LXi,900000000.0
Diesel,Manual,Maruti Swift Dzire VDI Optional,10150000000.0
Petrol,Manual,Maruti Eeco 5 Seater AC BSIV,5614000000.0
Diesel,Manual,Hyundai i20 Sportz 1.4 CRDi,10500000000.0
Petrol,Manual,Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,4340000000.0
Diesel,Manual,Maruti Swift ZDi BSIV,9310000000.0
Diesel,Manual,Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,6510000000.0
Petrol,Manual,Maruti Alto LXi,1440000000.0
Diesel,Manual,Mahindra Jeep CL 500 MDI,500000000.0
Diesel,Manual,Honda City i DTEC VX,9450000000.0
Petrol,Manual,Maruti Wagon R VXI BS IV,2700000000.0
Diesel,Manual,Tata Indica DLS,630000000.0
Petrol,Manual,Hyundai EON Magna Plus,3360000000.0
Diesel,Manual,Toyota Etios GD,7350000000.0
Petrol,Manual,Maruti Alto LXi,1359000000.0
Petrol,Manual,Maruti Alto LXi,1260000000.0
Diesel,Manual,Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2520000000.0
Diesel,Manual,Toyota Corolla Altis Diesel D4DG,3150000000.0
Diesel,Manual,Mahindra Scorpio 1.99 S6 Plus,7980000000.0
Petrol,Manual,Hyundai EON Magna Plus,4200000000.0
Diesel,Manual,Tata Indigo Classic Dicor,900000000.0
Diesel,Manual,Toyota Innova 2.5 V Diesel 8-seater,4500000000.0
Diesel,Manual,Tata Indica Vista Quadrajet LS,1750000000.0
Petrol,Manual,Maruti Swift 1.3 VXi,1170000000.0
Diesel,Manual,Ford EcoSport 1.5 Diesel Titanium BSIV,12950000000.0
Diesel,Manual,Maruti Ciaz 1.3 Delta,10500000000.0
Petrol,Automatic,Honda Civic 1.8 V AT,1800000000.0
Petrol,Manual,Hyundai i10 Sportz 1.2,2232000000.0
Diesel,Manual,Skoda Rapid 1.5 TDI Elegance,6300000000.0
Petrol,Manual,Hyundai Getz GLS,720000000.0
Petrol,Manual,Nissan Terrano XL,9100000000.0
Diesel,Manual,Hyundai Grand i10 CRDi Sportz,6300000000.0
Diesel,Manual,Hyundai Elite i20 Diesel Era,9100000000.0
Petrol,Manual,Honda Amaze S i-VTEC,6930000000.0
Petrol,Manual,Honda Brio S MT,5194000000.0
Petrol,Manual,Hyundai Creta 1.6 SX Option,14350000000.0
Diesel,Automatic,Mercedes-Benz S-Class S 350d Connoisseurs Edition,16616255250.0
Diesel,Manual,Mahindra XUV500 W8 2WD,10500000000.0
Diesel,Manual,Renault Duster 85PS Diesel RxL Optional,5400000000.0
Petrol,Manual,Hyundai Santro Xing XO,720000000.0
Diesel,Manual,Mahindra Bolero 2011-2019 SLE,2925000000.0
Diesel,Automatic,Audi A6 2.0 TDI Premium Plus,16616255250.0
Diesel,Manual,Fiat Avventura MULTIJET Emotion,4900000000.0
Diesel,Automatic,Audi A8 4.2 TDI,10681878375.0
Petrol,Manual,Datsun RediGO 1.0 S,2940000000.0
Petrol,Manual,Volkswagen Jetta 1.4 TSI Comfortline,4050000000.0
Diesel,Automatic,Audi A4 2.0 TDI 177 Bhp Premium Plus,10350000000.0
Petrol,Automatic,Honda Civic 1.8 V AT,1890000000.0
Petrol,Automatic,Mercedes-Benz E-Class Exclusive E 200 BSIV,16616255250.0
Diesel,Automatic,BMW X1 sDrive 20d xLine,16616255250.0
Diesel,Automatic,Volvo V40 D3 R Design,16616255250.0
Petrol,Manual,Maruti SX4 Zxi BSIII,1575000000.0
Diesel,Automatic,BMW 7 Series 730Ld,10681878375.0
Diesel,Manual,Mahindra Bolero Power Plus SLX,8792000000.0
Diesel,Manual,Hyundai Sonata CRDi M/T,5400000000.0
Petrol,Manual,Nissan Micra Active XV Petrol,5586000000.0
Diesel,Manual,Mahindra Xylo D4,10500000000.0
Petrol,Manual,Hyundai Elite i20 Sportz Plus Dual Tone BSIV,10500000000.0
Petrol,Manual,Renault KWID RXT,4410000000.0
Diesel,Manual,Mahindra Xylo E4 BS III,5400000000.0
Petrol,Manual,Maruti Wagon R LXI Minor,900000000.0
Petrol,Manual,Maruti SX4 ZXI MT BSIV,2250000000.0
Petrol,Manual,Renault KWID RXT,4900000000.0
Diesel,Manual,Hyundai Creta 1.4 CRDi S,10920000000.0
Diesel,Manual,Maruti Swift Dzire VDI,6076000000.0
Petrol,Automatic,Hyundai Verna 1.6 VTVT AT S Option,9660000000.0
Diesel,Manual,Mahindra Scorpio LX BSIV,7770000000.0
Petrol,Manual,Maruti SX4 Vxi BSIII,1080000000.0
Diesel,Manual,Maruti Ertiga VDI,7000000000.0
Diesel,Manual,Chevrolet Beat Diesel,1485000000.0
Petrol,Manual,Maruti Zen LX,855000000.0
Petrol,Manual,Maruti Baleno Delta 1.2,7700000000.0
Diesel,Manual,Maruti Swift Vdi BSIII,900000000.0
Petrol,Manual,Tata Nano Lx BSIV,900000000.0
Diesel,Manual,Toyota Innova 2.5 GX (Diesel) 8 Seater,4500000000.0
Diesel,Manual,Maruti Ertiga SHVS VDI,11200000000.0
Diesel,Manual,Hyundai Creta 1.6 CRDi SX,11760000000.0
Petrol,Manual,Honda Amaze S i-Vtech,6860000000.0
Diesel,Manual,Tata Indica Vista Aqua 1.4 TDI,1125000000.0
Diesel,Manual,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,3600000000.0
Diesel,Manual,Chevrolet Cruze LTZ,14000000000.0
Petrol,Manual,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,7420000000.0
Diesel,Manual,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,11760000000.0
Petrol,Manual,Hyundai i10 Sportz 1.1L,3219986000.0
Petrol,Manual,Maruti 800 Std,360000000.0
Petrol,Manual,Chevrolet Spark 1.0 LS,1170000000.0
Petrol,Manual,Hyundai EON Era Plus,2800000000.0
Diesel,Manual,Tata Indica Vista Aqua TDI BSIII,1080000000.0
Petrol,Manual,Hyundai Santro LP zipPlus,675000000.0
Diesel,Manual,Tata Bolt Quadrajet XE,3500000000.0
Petrol,Manual,Maruti 800 AC BSIII,900000000.0
Petrol,Manual,Hyundai EON Era Plus,2520000000.0
Petrol,Manual,Hyundai i20 Magna 1.2,7560000000.0
Petrol,Manual,Hyundai i20 1.2 Asta,9800000000.0
Diesel,Manual,Maruti Ciaz VDi Plus,7350000000.0
Diesel,Manual,Hyundai i20 Asta 1.4 CRDi,6020000000.0
Petrol,Manual,Hyundai Santro LE,585000000.0
Diesel,Manual,Maruti Vitara Brezza VDi,11200000000.0
Petrol,Manual,Hyundai Santro Xing XL eRLX Euro III,675000000.0
Petrol,Manual,Hyundai Getz 1.3 GLS,1890000000.0
Diesel,Manual,Mahindra Quanto C8,1755000000.0
Diesel,Manual,Chevrolet Tavera Neo 3 LS 7 C BSIII,5600000000.0
Petrol,Manual,Hyundai EON Magna Plus,1530000000.0
Petrol,Manual,Renault KWID RXT,3150000000.0
LPG,Manual,Maruti Wagon R DUO LPG,2940000000.0
Petrol,Manual,Maruti Wagon R LXI,3360000000.0
Diesel,Manual,Chevrolet Enjoy 1.3 TCDi LS 8,4200000000.0
Petrol,Manual,Chevrolet Spark 1.0 LS,891000000.0
Petrol,Manual,Honda City i VTEC SV,8680000000.0
Diesel,Manual,Honda Amaze VX i-DTEC,4500000000.0
Petrol,Automatic,Jaguar XJ 5.0 L V8 Supercharged,10681878375.0
Petrol,Manual,Honda Brio E MT,2340000000.0
Petrol,Manual,Maruti Swift VVT ZXI,7700000000.0
Diesel,Manual,Tata Indigo CR4,1350000000.0
Petrol,Automatic,Hyundai i10 Asta AT,3150000000.0
Petrol,Manual,Chevrolet Beat LT,4480000000.0
Diesel,Manual,Maruti Swift VDI BSIV,5600000000.0
Petrol,Manual,Maruti Alto LXi,1575000000.0
Petrol,Manual,Chevrolet Beat LT,1080000000.0
Diesel,Manual,Renault Duster 110PS Diesel RxZ,2880000000.0
Petrol,Manual,Hyundai Santro Xing XG,630000000.0
Petrol,Manual,Maruti Swift Dzire ZXI Plus,11340000000.0
Petrol,Manual,Maruti 800 AC,855000000.0
CNG,Manual,Maruti Alto K10 LXI CNG,3948000000.0
Petrol,Manual,Maruti 800 Std BSII,720000000.0
Petrol,Manual,Tata Nano LX SE,648000000.0
Petrol,Manual,Hyundai i20 Magna 1.2,8400000000.0
Petrol,Manual,Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,8960000000.0
Petrol,Manual,Maruti Alto K10 VXI,5320000000.0
Petrol,Manual,Maruti Ciaz 1.4 Delta,9100000000.0
Petrol,Manual,Maruti Alto LX,1350000000.0
Petrol,Manual,Hyundai i20 Asta,2520000000.0
Petrol,Manual,Tata Nexon 1.2 Revotron XM,6020000000.0
Diesel,Manual,Mahindra Bolero Power Plus SLX,11200000000.0
Diesel,Manual,Maruti Zen D,675000000.0
Diesel,Automatic,Volkswagen Vento Celeste 1.5 TDI Highline AT,9100000000.0
Petrol,Manual,Maruti Eeco 7 Seater Standard BSIV,5460000000.0
Petrol,Manual,Honda City 1.5 EXI,900000000.0
Diesel,Automatic,Mercedes-Benz New C-Class 220 CDI AT,10681878375.0
Petrol,Manual,Maruti SX4 Zxi with Leather BSIII,1575000000.0
Diesel,Manual,Renault Duster 110PS Diesel RxZ,3914991000.0
Diesel,Manual,Ford Figo Diesel Titanium,1530000000.0
Diesel,Manual,Ford Figo Diesel Titanium,1710000000.0
Diesel,Manual,Maruti Swift Dzire VDi,2250000000.0
Diesel,Manual,Mahindra Xylo E4,2069991000.0
Petrol,Manual,Maruti Esteem Vxi - BSIII,1260000000.0
Diesel,Manual,Maruti Swift VDI BSIV,8400000000.0
Petrol,Manual,Hyundai i20 1.2 Sportz,2520000000.0
Diesel,Manual,Chevrolet Beat Diesel LT,1350000000.0
Diesel,Automatic,Chevrolet Cruze LTZ AT,9100000000.0
Petrol,Manual,Nissan Micra XL,2940000000.0
Diesel,Automatic,BMW 5 Series 520d Luxury Line,16616255250.0
Diesel,Manual,Chevrolet Enjoy 1.3 TCDi LS 8,3825000000.0
Petrol,Manual,Hyundai EON Era Plus Option,3710000000.0
Petrol,Manual,Fiat Linea T Jet Emotion,12460000000.0
Petrol,Manual,Renault Scala RxL,3285000000.0
Petrol,Manual,Ford Figo Petrol Titanium,4900000000.0
Diesel,Manual,Maruti Ciaz ZDi SHVS,9590000000.0
Diesel,Manual,Skoda Rapid 1.5 TDI Ambition BSIV,13160000000.0
Diesel,Manual,Mahindra XUV500 W6 2WD,14000000000.0
Petrol,Manual,Mahindra XUV300 W8 Option,16100000000.0
Diesel,Manual,Maruti Ertiga SHVS ZDI,6300000000.0
Diesel,Manual,Nissan Terrano XE D,8260000000.0
Diesel,Manual,Maruti S-Cross Facelift,11200000000.0
Diesel,Manual,Hyundai i20 Magna 1.4 CRDi (Diesel),3465000000.0
Diesel,Automatic,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,10681878375.0
Petrol,Manual,Hyundai EON Era Plus,2115000000.0
Diesel,Manual,Volkswagen Ameo 1.5 TDI Highline,8960000000.0
Petrol,Manual,Maruti Alto LX,468000000.0
