Periode,Data_Inflasi
1970-01-01 00:00:00.000000240,222
1970-01-01 00:00:00.000000262,15
1970-01-01 00:00:00.000000021,39
1970-01-01 00:00:00.000000131,40
1970-01-01 00:00:00.000000153,46
1970-01-01 00:00:00.000000197,60
1970-01-01 00:00:00.000000043,65
1970-01-01 00:00:00.000000175,67
1970-01-01 00:00:00.000000087,55
1970-01-01 00:00:00.000000109,48
1970-01-01 00:00:00.000000065,49
1970-01-01 00:00:00.000000218,61
1970-01-01 00:00:00.000000239,47
1970-01-01 00:00:00.000000261,43
1970-01-01 00:00:00.000000020,78
1970-01-01 00:00:00.000000130,69
1970-01-01 00:00:00.000000152,92
1970-01-01 00:00:00.000000196,108
1970-01-01 00:00:00.000000042,116
1970-01-01 00:00:00.000000174,134
1970-01-01 00:00:00.000000086,142
1970-01-01 00:00:00.000000108,139
1970-01-01 00:00:00.000000064,143
1970-01-01 00:00:00.000000217,141
1970-01-01 00:00:00.000000238,148
1970-01-01 00:00:00.000000260,153
1970-01-01 00:00:00.000000019,128
1970-01-01 00:00:00.000000129,133
1970-01-01 00:00:00.000000151,117
1970-01-01 00:00:00.000000195,93
1970-01-01 00:00:00.000000041,90
1970-01-01 00:00:00.000000173,50
1970-01-01 00:00:00.000000085,38
1970-01-01 00:00:00.000000107,41
1970-01-01 00:00:00.000000063,16
1970-01-01 00:00:00.000000216,14
1970-01-01 00:00:00.000000237,12
1970-01-01 00:00:00.000000259,11
1970-01-01 00:00:00.000000018,10
1970-01-01 00:00:00.000000128,7
1970-01-01 00:00:00.000000150,2
1970-01-01 00:00:00.000000194,13
1970-01-01 00:00:00.000000040,5
1970-01-01 00:00:00.000000172,3
1970-01-01 00:00:00.000000084,4
1970-01-01 00:00:00.000000106,9
1970-01-01 00:00:00.000000062,13
1970-01-01 00:00:00.000000215,10
1970-01-01 00:00:00.000000236,6
1970-01-01 00:00:00.000000258,5
1970-01-01 00:00:00.000000017,1
1970-01-01 00:00:00.000000127,8
1970-01-01 00:00:00.000000149,17
1970-01-01 00:00:00.000000193,42
1970-01-01 00:00:00.000000039,51
1970-01-01 00:00:00.000000171,63
1970-01-01 00:00:00.000000083,64
1970-01-01 00:00:00.000000105,52
1970-01-01 00:00:00.000000061,54
1970-01-01 00:00:00.000000214,65
1970-01-01 00:00:00.000000235,71
1970-01-01 00:00:00.000000257,85
1970-01-01 00:00:00.000000016,91
1970-01-01 00:00:00.000000126,82
1970-01-01 00:00:00.000000148,79
1970-01-01 00:00:00.000000192,82
1970-01-01 00:00:00.000000038,59
1970-01-01 00:00:00.000000170,45
1970-01-01 00:00:00.000000082,48
1970-01-01 00:00:00.000000104,58
1970-01-01 00:00:00.000000060,71
1970-01-01 00:00:00.000000213,76
1970-01-01 00:00:00.000000234,72
1970-01-01 00:00:00.000000256,62
1970-01-01 00:00:00.000000015,74
1970-01-01 00:00:00.000000125,73
1970-01-01 00:00:00.000000147,70
1970-01-01 00:00:00.000000191,76
1970-01-01 00:00:00.000000037,87
1970-01-01 00:00:00.000000169,86
1970-01-01 00:00:00.000000081,73
1970-01-01 00:00:00.000000103,77
1970-01-01 00:00:00.000000059,97
1970-01-01 00:00:00.000000212,80
1970-01-01 00:00:00.000000233,95
1970-01-01 00:00:00.000000255,99
1970-01-01 00:00:00.000000014,102
1970-01-01 00:00:00.000000124,104
1970-01-01 00:00:00.000000146,118
1970-01-01 00:00:00.000000190,116
1970-01-01 00:00:00.000000036,112
1970-01-01 00:00:00.000000168,97
1970-01-01 00:00:00.000000080,103
1970-01-01 00:00:00.000000102,91
1970-01-01 00:00:00.000000058,66
1970-01-01 00:00:00.000000211,95
1970-01-01 00:00:00.000000232,81
1970-01-01 00:00:00.000000254,68
1970-01-01 00:00:00.000000013,57
1970-01-01 00:00:00.000000123,75
1970-01-01 00:00:00.000000145,89
1970-01-01 00:00:00.000000189,83
1970-01-01 00:00:00.000000035,96
1970-01-01 00:00:00.000000167,120
1970-01-01 00:00:00.000000079,119
1970-01-01 00:00:00.000000101,109
1970-01-01 00:00:00.000000057,84
1970-01-01 00:00:00.000000210,132
1970-01-01 00:00:00.000000231,162
1970-01-01 00:00:00.000000253,182
1970-01-01 00:00:00.000000012,191
1970-01-01 00:00:00.000000122,194
1970-01-01 00:00:00.000000144,194
1970-01-01 00:00:00.000000188,189
1970-01-01 00:00:00.000000034,181
1970-01-01 00:00:00.000000166,168
1970-01-01 00:00:00.000000078,165
1970-01-01 00:00:00.000000100,186
1970-01-01 00:00:00.000000056,210
1970-01-01 00:00:00.000000209,161
1970-01-01 00:00:00.000000230,131
1970-01-01 00:00:00.000000252,122
1970-01-01 00:00:00.000000011,107
1970-01-01 00:00:00.000000121,122
1970-01-01 00:00:00.000000143,179
1970-01-01 00:00:00.000000187,196
1970-01-01 00:00:00.000000033,193
1970-01-01 00:00:00.000000165,196
1970-01-01 00:00:00.000000077,202
1970-01-01 00:00:00.000000099,207
1970-01-01 00:00:00.000000055,212
1970-01-01 00:00:00.000000208,211
1970-01-01 00:00:00.000000229,208
1970-01-01 00:00:00.000000251,213
1970-01-01 00:00:00.000000010,217
1970-01-01 00:00:00.000000120,215
1970-01-01 00:00:00.000000142,151
1970-01-01 00:00:00.000000186,142
1970-01-01 00:00:00.000000032,146
1970-01-01 00:00:00.000000164,151
1970-01-01 00:00:00.000000076,140
1970-01-01 00:00:00.000000098,124
1970-01-01 00:00:00.000000054,113
1970-01-01 00:00:00.000000207,115
1970-01-01 00:00:00.000000228,127
1970-01-01 00:00:00.000000250,114
1970-01-01 00:00:00.000000009,125
1970-01-01 00:00:00.000000119,123
1970-01-01 00:00:00.000000141,122
1970-01-01 00:00:00.000000185,120
1970-01-01 00:00:00.000000031,121
1970-01-01 00:00:00.000000163,106
1970-01-01 00:00:00.000000075,94
1970-01-01 00:00:00.000000097,98
